Date,Category,Item,Merchant,Amount
2024-01-01,Bills,Rent,Landlord,-1000
2024-01-01,Income,Salary,Employer,1043.4
2024-01-07,Food,Groceries,Coop,-55.22
2024-01-15,Bills,Utilities,"Electric Co",-75
2024-01-15,Income,Salary,Employer,1043.4
2024-01-17,Transit,Gas,BP,-35.12
2024-01-20,Misc,"Food; Drugs; TV",Target,-215.25
2024-02-01,Bills,Rent,Landlord,-1000
2024-02-01,Income,Salary,Employer,1043.4
2024-02-07,Food,Groceries,Coop,-155.22
2024-02-15,Bills,Utilities,"Electric Co",-73.29
2024-02-15,Income,Salary,Employer,1043.4
2024-02-17,Transit,Gas,BP,-37.22
2024-02-17,Capital,bicycle,BikeShop,-700
2024-02-18,Income,bday,Parent,200
2024-02-22,Misc,"sporting goods",Target,-215.25
2024-03-01,Bills,Rent,Landlord,-1000
2024-03-01,Income,Salary,Employer,1043.4
2024-03-07,Food,Groceries,Coop,-95.87
2024-03-15,Bills,Utilities,"Electric Co",-63.29
2024-03-15,Income,Salary,Employer,1043.4
2024-03-15,Transit,Gas,BP,-55.851
2024-03-22,Misc,"sporting goods",Target,-215.25
2024-09-01,Bills,Rent,Landlord,-1000
2024-09-01,Income,Salary,Employer,1043.4
2024-09-07,Food,Groceries,Coop,-95.87
2024-09-15,Bills,Utilities,"Electric Co",-63.29
2024-09-15,Income,Salary,Employer,1043.4
2024-09-15,Transit,Gas,BP,-55.851
2024-09-22,Misc,"sporting goods",Target,-215.25